GeneID	Product	Note	Gene_Biotype	Location	Strand	Dbxref	Araport11	Araport11_Description	InterPro	InterPro_Description	SwissProt	SwissProt_Description	TrEMBL	TrEMBL_Description
PITG_00122	uncharacterized protein		protein_coding	NW_003303758.1:865186-866049	-	GeneID:9476716	AT3G10122.1		IPR000001;IPR000002					
PITG_00123	sporangia induced hypothetical protein		protein_coding	NW_003303758.1:866165-866617	-	GeneID:9476717	AT4G10123.1	sporangia induced hypothetical protein	IPR000001;IPR000002				A0A30C5A08	
PITG_00124	ser/thr kinase		protein_coding	NW_003303758.1:867206-868298	+	GeneID:9476718	AT5G10124.1	ser/thr kinase	IPR011009;IPR000719				A0A265B0CE	
PITG_00125	uncharacterized protein		protein_coding	NW_003303758.1:868367-870037	-	GeneID:9476719	AT1G10125.1		IPR000001;IPR000002					
PITG_00126	uncharacterized protein		protein_coding	NW_003303758.1:871021-871257	+	GeneID:9476720	AT2G10126.1		IPR000001;IPR000002					
PITG_00127	estradiol 17-beta-dehydrogenase, putative		protein_coding	NW_003303758.1:871948-873206	-	GeneID:9476721	AT3G10127.1	estradiol 17-beta-dehydrogenase	IPR001327;IPR016040				A0AFD0925E	
PITG_00128	uncharacterized protein		protein_coding	NW_003303758.1:873391-874065	+	GeneID:9476722	AT4G10128.1		IPR000001;IPR000002					
PITG_00129	copine-like protein, putative		protein_coding	NW_003303758.1:874867-876383	+	GeneID:9476723	AT5G10129.1	copine-like protein	IPR000001;IPR000002				A0AD60296D	
PITG_00130	uncharacterized protein		protein_coding	NW_003303758.1:876682-877668	-	GeneID:9476724	AT1G10130.1		IPR000001;IPR000002					
PITG_00131	uncharacterized protein		protein_coding	NW_003303758.1:878331-880115	+	GeneID:9476725	AT2G10131.1		IPR000001;IPR000002					
PITG_00132	phosphoglycerate kinase		protein_coding	NW_003303758.1:880586-881906	-	GeneID:9476726	AT3G10132.1	phosphoglycerate kinase	IPR011009;IPR000719	Q781A1	Q781A1		A0A2151015	
PITG_00133	phosphoserine aminotransferase, putative		protein_coding	NW_003303758.1:903117-914822	+	GeneID:9476727	AT4G10133.1	phosphoserine aminotransferase	IPR005150;IPR013015				A0AC8053BA	
PITG_00134	COP9 signalosome complex subunit 3, putative		protein_coding	NW_003303758.1:915183-916684	-	GeneID:9476728	AT5G10134.1	COP9 signalosome complex subunit 3	IPR001254;IPR015424				A0AAB5D8F2	
PITG_00135	uncharacterized protein		protein_coding	NW_003303758.1:916852-917796	+	GeneID:9476729	AT1G10135.1		IPR000001;IPR000002					
PITG_00136	uncharacterized protein		protein_coding	NW_003303758.1:920846-921833	+	GeneID:9476730	AT2G10136.1		IPR000001;IPR000002					
PITG_00137	uncharacterized protein		protein_coding	NW_003303758.1:922401-923268	+	GeneID:9476731	AT3G10137.1		IPR000001;IPR000002					
PITG_00138	uncharacterized protein		protein_coding	NW_003303758.1:926158-926682	-	GeneID:9476732	AT4G10138.1		IPR000001;IPR000002					
PITG_00139	uncharacterized protein		protein_coding	NW_003303758.1:926736-927279	-	GeneID:9476733	AT5G10139.1		IPR000001;IPR000002					
PITG_00140	chromodomain-helicase-DNA-binding protein, putative		protein_coding	NW_003303758.1:928185-933733	+	GeneID:9476734	AT1G10140.1	chromodomain-helicase-DNA-binding protein	IPR001356;IPR036388	Q36E86	Q36E86		A0A4256F74	
PITG_00141	uncharacterized protein		protein_coding	NW_003303758.1:933808-939753	-	GeneID:9476735	AT2G10141.1		IPR000001;IPR000002					
PITG_00142	ribosome biogenesis protein NEP1, putative		protein_coding	NW_003303758.1:939906-940775	+	GeneID:9476736	AT3G10142.1	ribosome biogenesis protein NEP1	IPR000001;IPR000002				A0A837A86B	
PITG_00143	nuclear migration protein nudC-like protein		protein_coding	NW_003303758.1:940911-941883	-	GeneID:9476737	AT4G10143.1	nuclear migration protein nudC-like protein	IPR000001;IPR000002				A0A7CF5E09	
PITG_00144	uncharacterized protein		protein_coding	NW_003303758.1:942024-943337	+	GeneID:9476738	AT5G10144.1		IPR000001;IPR000002					
PITG_00145	histone methyltransferase, putative		protein_coding	NW_003303758.1:943468-944178	-	GeneID:9476739	AT1G10145.1	histone methyltransferase	IPR005150;IPR013015				A0A5C544A1	
PITG_00146	glucose-6-phosphate 1-dehydrogenase		protein_coding	NW_003303758.1:945163-946897	-	GeneID:9476740	AT2G10146.1	glucose-6-phosphate 1-dehydrogenase	IPR001327;IPR016040	Q31DC6	Q31DC6		A0A1AFC6CE	
PITG_00147	uncharacterized protein		protein_coding	NW_003303758.1:948044-948934	-	GeneID:9476741	AT3G10147.1		IPR000001;IPR000002					
PITG_00148	programmed cell death 6-interacting protein, putative		protein_coding	NW_003303758.1:960635-963294	+	GeneID:9476742	AT4G10148.1	programmed cell death 6-interacting protein	IPR000001;IPR000002				A0A6129F0D	
PITG_00149	uncharacterized protein		protein_coding	NW_003303758.1:963923-969271	-	GeneID:9476743	AT5G10149.1		IPR000001;IPR000002					
PITG_00150	uncharacterized protein		protein_coding	NW_003303758.1:972648-974042	+	GeneID:9476744	AT1G10150.1		IPR000001;IPR000002					
PITG_00151	uncharacterized protein		protein_coding	NW_003303758.1:974344-974772	+	GeneID:9476745	AT2G10151.1		IPR000001;IPR000002					
PITG_00152	kinesin-like protein		protein_coding	NW_003303758.1:975292-979794	-	GeneID:9476746	AT3G10152.1	kinesin-like protein	IPR000001;IPR000002				A0A0AECDCE	
PITG_00153	uncharacterized protein		protein_coding	NW_003303758.1:999765-1001258	+	GeneID:9476747	AT4G10153.1		IPR000001;IPR000002					
PITG_00154	crinkler (CRN) family protein, putative		protein_coding	NW_003303758.1:1016313-1018418	+	GeneID:9476748	AT5G10154.1	crinkler (CRN) family protein	IPR000001;IPR000002				A0A2791D32	
PITG_00155	uncharacterized protein		protein_coding	NW_003303758.1:1019398-1020584	-	GeneID:9476749	AT1G10155.1		IPR000001;IPR000002					
PITG_00156	beta-tubulin		protein_coding	NW_003303758.1:1021769-1023515	+	GeneID:9476750	AT2G10156.1	beta-tubulin	IPR000001;IPR000002				A0A9982CFF	
PITG_00157	uncharacterized protein		protein_coding	NW_003303758.1:1023677-1024051	+	GeneID:9476751	AT3G10157.1		IPR000001;IPR000002					
PITG_00158	uncharacterized protein		protein_coding	NW_003303758.1:1024818-1025368	-	GeneID:9476752	AT4G10158.1		IPR000001;IPR000002					
PITG_00159	uncharacterized protein		protein_coding	NW_003303758.1:1025483-1028158	+	GeneID:9476753	AT5G10159.1		IPR000001;IPR000002					
PITG_00160	uncharacterized protein		protein_coding	NW_003303758.1:1028994-1037291	+	GeneID:9476754	AT1G10160.1		IPR000001;IPR000002					
PITG_00162	protein kinase		protein_coding	NW_003303758.1:1065265-1065718	-	GeneID:9476755	AT3G10162.1	protein kinase	IPR011009;IPR000719				A0A4480599	
PITG_00163	threonine dehydratase, mitochondrial precursor		protein_coding	NW_003303758.1:1074811-1076365	+	GeneID:9476756	AT4G10163.1	threonine dehydratase, mitochondrial precursor	IPR000001;IPR000002				A0A9B27F7B	
PITG_00164	uncharacterized protein		protein_coding	NW_003303758.1:1076639-1078064	-	GeneID:9476757	AT5G10164.1		IPR000001;IPR000002					
PITG_00165	uncharacterized protein		protein_coding	NW_003303758.1:1079100-1080388	+	GeneID:9476758	AT1G10165.1		IPR000001;IPR000002					
PITG_00166	phosphoserine phosphatase		protein_coding	NW_003303758.1:1080298-1081460	-	GeneID:9476759	AT2G10166.1	phosphoserine phosphatase	IPR004843;IPR015655				A0A643E6E8	
PITG_00167	cAMP-specific 3',5'-cyclic phosphodiesterase, putative		protein_coding	NW_003303758.1:1081823-1083627	-	GeneID:9476760	AT3G10167.1	cAMP-specific 3',5'-cyclic phosphodiesterase	IPR000001;IPR000002	Q98097	Q98097		A0A3180DD3	
PITG_00169	uncharacterized protein		protein_coding	NW_003303758.1:1106830-1109566	+	GeneID:9476761	AT5G10169.1		IPR000001;IPR000002					
PITG_00170	vacuolar-sorting receptor, putative		protein_coding	NW_003303758.1:1110025-1111987	+	GeneID:9476762	AT1G10170.1	vacuolar-sorting receptor	IPR000001;IPR000002				A0A400789F	
PITG_00171	uncharacterized protein		protein_coding	NW_003303758.1:1112442-1113824	+	GeneID:9476763	AT2G10171.1		IPR000001;IPR000002					
PITG_00172	proteasome subunit alpha, putative		protein_coding	NW_003303758.1:1113944-1114876	+	GeneID:9476764	AT3G10172.1	proteasome subunit alpha	IPR000001;IPR000002				A0A656D08D	
PITG_00173	vesicle-associated membrane protein, putative		protein_coding	NW_003303758.1:1115000-1115847	-	GeneID:9476765	AT4G10173.1	vesicle-associated membrane protein	IPR000425;IPR036924				A0ACEB0EA9	
PITG_00174	uncharacterized protein		protein_coding	NW_003303758.1:1116230-1116577	+	GeneID:9476766	AT5G10174.1		IPR000001;IPR000002					
PITG_00175	uncharacterized protein		protein_coding	NW_003303758.1:1116696-1118688	+	GeneID:9476767	AT1G10175.1		IPR000001;IPR000002					
PITG_00176	presenilin-like protein		protein_coding	NW_003303758.1:1118739-1120479	-	GeneID:9476768	AT2G10176.1	presenilin-like protein	IPR000001;IPR000002	Q2DFB7	Q2DFB7		A0A70D78ED	
