GeneID	Product	Note	Gene_Biotype	Location	Strand	Dbxref
PITG_00028	aminoacylase-1, putative		protein_coding	NW_003303758.1:281895-283554	+	GeneID:9479473
PITG_00029	aminoacylase-1, putative		protein_coding	NW_003303758.1:283681-285297	+	GeneID:9476532
PITG_00030	uncharacterized protein		protein_coding	NW_003303758.1:285954-287069	+	GeneID:9476533
PITG_00031	uncharacterized protein		protein_coding	NW_003303758.1:287352-288233	-	GeneID:9476534
PITG_00032	exonuclease, putative		protein_coding	NW_003303758.1:289086-290803	+	GeneID:9476535
PITG_00033	uncharacterized protein		protein_coding	NW_003303758.1:291309-292197	-	GeneID:9476536
PITG_00034	aldehyde dehydrogenase, putative		protein_coding	NW_003303758.1:293077-295047	+	GeneID:9476537
PITG_00035	60S ribosomal export protein NMD3, putative		protein_coding	NW_003303758.1:295409-297147	-	GeneID:9476538
PITG_00036	U3 small nucleolar RNA-associated protein 6		protein_coding	NW_003303758.1:297756-299811	-	GeneID:9476539
PITG_00037	uncharacterized protein		protein_coding	NW_003303758.1:299950-301256	+	GeneID:9476540
PITG_00038	myb-like DNA-binding protein, putative		protein_coding	NW_003303758.1:301513-304415	-	GeneID:9476543
PITG_00039	telomere length regulation protein TEL2		protein_coding	NW_003303758.1:304763-307092	-	GeneID:9476544
PITG_00040	uncharacterized protein		protein_coding	NW_003303758.1:317550-320869	+	GeneID:9476545
PITG_00041	carbohydrate esterase, putative		protein_coding	NW_003303758.1:441468-442192	+	GeneID:9476562
PITG_00042	uncharacterized protein		protein_coding	NW_003303758.1:445575-445936	+	GeneID:9476563
PITG_00043	uncharacterized protein		protein_coding	NW_003303758.1:446530-448666	-	GeneID:9476564
PITG_00044	uncharacterized protein		protein_coding	NW_003303758.1:449137-449746	-	GeneID:9476565
PITG_00045	myosin-like protein		protein_coding	NW_003303758.1:450919-455161	+	GeneID:9476566
PITG_00046	sporangia induced conserved hypothetical protein		protein_coding	NW_003303758.1:455284-457902	-	GeneID:9476567
PITG_00047	uncharacterized protein		protein_coding	NW_003303758.1:458278-461083	+	GeneID:9476568
PITG_00048	uncharacterized protein		protein_coding	NW_003303758.1:461174-462403	-	GeneID:9476569
PITG_00049	uncharacterized protein		protein_coding	NW_003303758.1:462601-464598	+	GeneID:9476570
PITG_00050	uncharacterized protein		protein_coding	NW_003303758.1:464646-466564	-	GeneID:9476571
PITG_00051	DNA-directed RNA polymerase III subunit RPC6, putative		protein_coding	NW_003303758.1:466698-467990	-	GeneID:9476572
PITG_00052	periodic tryptophan protein 2		protein_coding	NW_003303758.1:468136-471005	+	GeneID:9476573
PITG_00053	WD domain-containing protein		protein_coding	NW_003303758.1:471109-472358	-	GeneID:9476574
PITG_00054	Mitochondrial Protein Translocase (MPT) Family		protein_coding	NW_003303758.1:472489-473399	+	GeneID:9476575
PITG_00055	uncharacterized protein		protein_coding	NW_003303758.1:473475-474809	-	GeneID:9476576
PITG_00056	uncharacterized protein		protein_coding	NW_003303758.1:475065-476616	-	GeneID:9476577
PITG_00058	protease inhibitor EpiC4		protein_coding	NW_003303758.1:516889-517407	+	GeneID:9476578
PITG_00059	uncharacterized protein		protein_coding	NW_003303758.1:519897-520832	+	GeneID:9476579
PITG_00060	uncharacterized protein		protein_coding	NW_003303758.1:520949-521595	-	GeneID:9476580
PITG_00061	uncharacterized protein		protein_coding	NW_003303758.1:522511-522831	-	GeneID:9476581
PITG_00062	Mitochondrial Protein Translocase (MPT) Family		protein_coding	NW_003303758.1:523260-523571	+	GeneID:9476582
PITG_00063	mitogen activated protein kinase 7		protein_coding	NW_003303758.1:523861-525380	-	GeneID:9476583
PITG_00064	uncharacterized protein		protein_coding	NW_003303758.1:525672-527243	+	GeneID:9476584
PITG_00065	uncharacterized protein		protein_coding	NW_003303758.1:527379-529763	-	GeneID:9476585
PITG_00066	uncharacterized protein		protein_coding	NW_003303758.1:530170-534006	+	GeneID:9476586
PITG_00067	uncharacterized protein		protein_coding	NW_003303758.1:534009-536394	-	GeneID:9476587
PITG_00068	cleavage induced conserved hypothetical protein		protein_coding	NW_003303758.1:537458-538345	+	GeneID:9476588
PITG_00069	uncharacterized protein		protein_coding	NW_003303758.1:541810-543568	-	GeneID:9476589
PITG_00070	uncharacterized protein		protein_coding	NW_003303758.1:544099-546250	-	GeneID:9476590
PITG_00071	DNA replication complex GINS protein PSF1		protein_coding	NW_003303758.1:546365-547394	-	GeneID:9476591
PITG_00072	uncharacterized protein		protein_coding	NW_003303758.1:547500-552753	+	GeneID:9476592
PITG_00073	calcium/calmodulin-dependent protein kinase, putative		protein_coding	NW_003303758.1:552812-554350	-	GeneID:9476593
PITG_00074	uncharacterized protein		protein_coding	NW_003303758.1:554755-556017	+	GeneID:9476594
PITG_00075	uncharacterized protein		protein_coding	NW_003303758.1:556960-561312	-	GeneID:9476595
PITG_00076	uncharacterized protein		protein_coding	NW_003303758.1:561562-562241	-	GeneID:9476596
PITG_00077	ubiquitin-specific protease, putative		protein_coding	NW_003303758.1:566327-570862	+	GeneID:9476597
PITG_00078	kinesin-like protein		protein_coding	NW_003303758.1:571453-574206	-	GeneID:9476598
PITG_00079	protein kinase		protein_coding	NW_003303758.1:575621-576775	+	GeneID:9476599
PITG_00080	protein kinase		protein_coding	NW_003303758.1:576866-578150	+	GeneID:9476600
PITG_00081	protein kinase, putative		protein_coding	NW_003303758.1:578573-581079	+	GeneID:9476601
PITG_00082	monovalent Cation:Proton Antiporter-2 (CPA2) family		protein_coding	NW_003303758.1:581243-583410	-	GeneID:9476602
PITG_00083	uncharacterized protein		protein_coding	NW_003303758.1:583814-584770	+	GeneID:9476603
PITG_00084	uncharacterized protein		protein_coding	NW_003303758.1:585822-587427	+	GeneID:9476604
PITG_00088	pre-mRNA-splicing factor cwc2, putative		protein_coding	NW_003303758.1:643976-645322	-	GeneID:9476605
PITG_00089	GTP-binding protein SAR1		protein_coding	NW_003303758.1:646329-647283	-	GeneID:9476606
PITG_00090	vacuolar sorting protein SNF8		protein_coding	NW_003303758.1:647500-648479	+	GeneID:9476607
PITG_00093	uncharacterized protein		protein_coding	NW_003303758.1:670322-671182	+	GeneID:9476608
PITG_00094	uncharacterized protein		protein_coding	NW_003303758.1:674948-679349	-	GeneID:9476609
PITG_00095	Major Facilitator Superfamily (MFS)		protein_coding	NW_003303758.1:680078-681757	-	GeneID:9476610
PITG_00096	uncharacterized protein		protein_coding	NW_003303758.1:686626-687529	-	GeneID:9476611
PITG_00097	uncharacterized protein		protein_coding	NW_003303758.1:688194-696153	+	GeneID:9476692
PITG_00098	HECT E3 ubiquitin ligase, putative		protein_coding	NW_003303758.1:697374-701050	+	GeneID:9476693
PITG_00099	uncharacterized protein		protein_coding	NW_003303758.1:711549-712694	-	GeneID:9476694
PITG_00100	uncharacterized protein		protein_coding	NW_003303758.1:714513-715373	+	GeneID:9476695
PITG_00101	HECT E3 ubiquitin ligase, putative		protein_coding	NW_003303758.1:716759-723554	-	GeneID:9476696
PITG_00102	uncharacterized protein		protein_coding	NW_003303758.1:730912-731758	+	GeneID:9476697
PITG_00103	sugar transporter, putative		protein_coding	NW_003303758.1:744028-745575	+	GeneID:9476698
PITG_00104	uncharacterized protein		protein_coding	NW_003303758.1:746336-748653	+	GeneID:9476699
PITG_00106	uncharacterized protein		protein_coding	NW_003303758.1:769830-770940	+	GeneID:9476700
PITG_00107	uncharacterized protein		protein_coding	NW_003303758.1:789089-790331	+	GeneID:9476701
PITG_00108	phospholipase D, putative		protein_coding	NW_003303758.1:799735-800771	-	GeneID:9476702
PITG_00109	DEAD/DEAH box RNA helicase, putative		protein_coding	NW_003303758.1:825758-827314	+	GeneID:9476704
PITG_00110	cytochrome c1 heme lyase, putative		protein_coding	NW_003303758.1:827690-828512	+	GeneID:9476705
PITG_00111	kinesin-like protein		protein_coding	NW_003303758.1:828603-830753	+	GeneID:9476706
PITG_00112	uncharacterized protein		protein_coding	NW_003303758.1:832523-833070	-	GeneID:9476707
PITG_00113	protein kinase		protein_coding	NW_003303758.1:833335-834116	+	GeneID:9476708
PITG_00114	uncharacterized protein		protein_coding	NW_003303758.1:835321-836131	+	GeneID:9476709
PITG_00115	protein kinase, putative		protein_coding	NW_003303758.1:837848-839260	+	GeneID:9476710
PITG_00116	SUMO ligase, putative		protein_coding	NW_003303758.1:839729-842096	+	GeneID:9476711
PITG_00117	splicing factor 3A		protein_coding	NW_003303758.1:842279-844183	+	GeneID:9476712
PITG_00118	uncharacterized protein		protein_coding	NW_003303758.1:844534-845157	+	GeneID:9476713
PITG_00119	uncharacterized protein		protein_coding	NW_003303758.1:845412-846500	+	GeneID:9476714
PITG_00121	sporangia induced predicted protein		protein_coding	NW_003303758.1:863713-864858	-	GeneID:9476715
PITG_00122	uncharacterized protein		protein_coding	NW_003303758.1:865186-866049	-	GeneID:9476716
PITG_00123	sporangia induced hypothetical protein		protein_coding	NW_003303758.1:866165-866617	-	GeneID:9476717
PITG_00124	ser/thr kinase		protein_coding	NW_003303758.1:867206-868298	+	GeneID:9476718
PITG_00125	uncharacterized protein		protein_coding	NW_003303758.1:868367-870037	-	GeneID:9476719
PITG_00126	uncharacterized protein		protein_coding	NW_003303758.1:871021-871257	+	GeneID:9476720
PITG_00127	estradiol 17-beta-dehydrogenase, putative		protein_coding	NW_003303758.1:871948-873206	-	GeneID:9476721
PITG_00128	uncharacterized protein		protein_coding	NW_003303758.1:873391-874065	+	GeneID:9476722
PITG_00129	copine-like protein, putative		protein_coding	NW_003303758.1:874867-876383	+	GeneID:9476723
PITG_00130	uncharacterized protein		protein_coding	NW_003303758.1:876682-877668	-	GeneID:9476724
PITG_00131	uncharacterized protein		protein_coding	NW_003303758.1:878331-880115	+	GeneID:9476725
PITG_00132	phosphoglycerate kinase		protein_coding	NW_003303758.1:880586-881906	-	GeneID:9476726
PITG_00133	phosphoserine aminotransferase, putative		protein_coding	NW_003303758.1:903117-914822	+	GeneID:9476727
PITG_00134	COP9 signalosome complex subunit 3, putative		protein_coding	NW_003303758.1:915183-916684	-	GeneID:9476728
PITG_00135	uncharacterized protein		protein_coding	NW_003303758.1:916852-917796	+	GeneID:9476729
PITG_00136	uncharacterized protein		protein_coding	NW_003303758.1:920846-921833	+	GeneID:9476730
PITG_00137	uncharacterized protein		protein_coding	NW_003303758.1:922401-923268	+	GeneID:9476731
PITG_00138	uncharacterized protein		protein_coding	NW_003303758.1:926158-926682	-	GeneID:9476732
PITG_00139	uncharacterized protein		protein_coding	NW_003303758.1:926736-927279	-	GeneID:9476733
PITG_00140	chromodomain-helicase-DNA-binding protein, putative		protein_coding	NW_003303758.1:928185-933733	+	GeneID:9476734
PITG_00141	uncharacterized protein		protein_coding	NW_003303758.1:933808-939753	-	GeneID:9476735
PITG_00142	ribosome biogenesis protein NEP1, putative		protein_coding	NW_003303758.1:939906-940775	+	GeneID:9476736
PITG_00143	nuclear migration protein nudC-like protein		protein_coding	NW_003303758.1:940911-941883	-	GeneID:9476737
PITG_00144	uncharacterized protein		protein_coding	NW_003303758.1:942024-943337	+	GeneID:9476738
PITG_00145	histone methyltransferase, putative		protein_coding	NW_003303758.1:943468-944178	-	GeneID:9476739
PITG_00146	glucose-6-phosphate 1-dehydrogenase		protein_coding	NW_003303758.1:945163-946897	-	GeneID:9476740
PITG_00147	uncharacterized protein		protein_coding	NW_003303758.1:948044-948934	-	GeneID:9476741
PITG_00148	programmed cell death 6-interacting protein, putative		protein_coding	NW_003303758.1:960635-963294	+	GeneID:9476742
PITG_00149	uncharacterized protein		protein_coding	NW_003303758.1:963923-969271	-	GeneID:9476743
PITG_00150	uncharacterized protein		protein_coding	NW_003303758.1:972648-974042	+	GeneID:9476744
PITG_00151	uncharacterized protein		protein_coding	NW_003303758.1:974344-974772	+	GeneID:9476745
PITG_00152	kinesin-like protein		protein_coding	NW_003303758.1:975292-979794	-	GeneID:9476746
PITG_00153	uncharacterized protein		protein_coding	NW_003303758.1:999765-1001258	+	GeneID:9476747
PITG_00154	crinkler (CRN) family protein, putative		protein_coding	NW_003303758.1:1016313-1018418	+	GeneID:9476748
PITG_00155	uncharacterized protein		protein_coding	NW_003303758.1:1019398-1020584	-	GeneID:9476749
PITG_00156	beta-tubulin		protein_coding	NW_003303758.1:1021769-1023515	+	GeneID:9476750
PITG_00157	uncharacterized protein		protein_coding	NW_003303758.1:1023677-1024051	+	GeneID:9476751
PITG_00158	uncharacterized protein		protein_coding	NW_003303758.1:1024818-1025368	-	GeneID:9476752
PITG_00159	uncharacterized protein		protein_coding	NW_003303758.1:1025483-1028158	+	GeneID:9476753
PITG_00160	uncharacterized protein		protein_coding	NW_003303758.1:1028994-1037291	+	GeneID:9476754
PITG_00162	protein kinase		protein_coding	NW_003303758.1:1065265-1065718	-	GeneID:9476755
PITG_00163	threonine dehydratase, mitochondrial precursor		protein_coding	NW_003303758.1:1074811-1076365	+	GeneID:9476756
PITG_00164	uncharacterized protein		protein_coding	NW_003303758.1:1076639-1078064	-	GeneID:9476757
PITG_00165	uncharacterized protein		protein_coding	NW_003303758.1:1079100-1080388	+	GeneID:9476758
PITG_00166	phosphoserine phosphatase		protein_coding	NW_003303758.1:1080298-1081460	-	GeneID:9476759
PITG_00167	cAMP-specific 3',5'-cyclic phosphodiesterase, putative		protein_coding	NW_003303758.1:1081823-1083627	-	GeneID:9476760
PITG_00169	uncharacterized protein		protein_coding	NW_003303758.1:1106830-1109566	+	GeneID:9476761
PITG_00170	vacuolar-sorting receptor, putative		protein_coding	NW_003303758.1:1110025-1111987	+	GeneID:9476762
PITG_00171	uncharacterized protein		protein_coding	NW_003303758.1:1112442-1113824	+	GeneID:9476763
PITG_00172	proteasome subunit alpha, putative		protein_coding	NW_003303758.1:1113944-1114876	+	GeneID:9476764
PITG_00173	vesicle-associated membrane protein, putative		protein_coding	NW_003303758.1:1115000-1115847	-	GeneID:9476765
PITG_00174	uncharacterized protein		protein_coding	NW_003303758.1:1116230-1116577	+	GeneID:9476766
PITG_00175	uncharacterized protein		protein_coding	NW_003303758.1:1116696-1118688	+	GeneID:9476767
PITG_00176	presenilin-like protein		protein_coding	NW_003303758.1:1118739-1120479	-	GeneID:9476768
PITG_00177	allantoicase		protein_coding	NW_003303758.1:1122482-1123675	-	GeneID:9476769
PITG_00178	dual specificity tyrosine-phosphorylation-regulated kinase, putative		protein_coding	NW_003303758.1:1124722-1126606	+	GeneID:9476770
PITG_00179	40S ribosomal protein S12, putative		protein_coding	NW_003303758.1:1126749-1127706	-	GeneID:9476771
PITG_00180	uncharacterized protein		protein_coding	NW_003303758.1:1127867-1129833	+	GeneID:9476852
PITG_00181	uncharacterized protein		protein_coding	NW_003303758.1:1130195-1131127	-	GeneID:9476853
PITG_00182	uncharacterized protein		protein_coding	NW_003303758.1:1131749-1132102	+	GeneID:9476854
PITG_00183	dynamin-2		protein_coding	NW_003303758.1:1132420-1134552	-	GeneID:9476855
PITG_00184	uncharacterized protein		protein_coding	NW_003303758.1:1134877-1135884	+	GeneID:9476856
PITG_00185	Voltage-gated Ion Channel (VIC) Superfamily		protein_coding	NW_003303758.1:1135958-1139943	-	GeneID:9476857
PITG_00186	histone acetyltransferase, putative		protein_coding	NW_003303758.1:1140907-1142524	+	GeneID:9476858
PITG_00187	protein kinase, putative		protein_coding	NW_003303758.1:1142619-1144389	+	GeneID:9476859
PITG_00188	kinesin-like protein		protein_coding	NW_003303758.1:1144594-1148260	-	GeneID:9476860
PITG_00189	uncharacterized protein		protein_coding	NW_003303758.1:1148517-1150405	+	GeneID:9476861
PITG_00190	uncharacterized protein		protein_coding	NW_003303758.1:1150739-1152421	+	GeneID:9476862
PITG_00191	uncharacterized protein		protein_coding	NW_003303758.1:1155631-1156677	+	GeneID:9476863
PITG_00192	uncharacterized protein		protein_coding	NW_003303758.1:1156784-1159052	-	GeneID:9476864
PITG_00193	uncharacterized protein		protein_coding	NW_003303758.1:1159527-1162267	-	GeneID:9476865
PITG_00194	casein kinase II subunit, putative		protein_coding	NW_003303758.1:1163013-1164317	-	GeneID:9476866
PITG_00195	uncharacterized protein		protein_coding	NW_003303758.1:1265554-1266106	+	GeneID:9476869
PITG_00196	uncharacterized protein		protein_coding	NW_003303758.1:1275190-1275994	-	GeneID:9476870
PITG_00197	uncharacterized protein		protein_coding	NW_003303758.1:1276260-1279016	+	GeneID:9476871
PITG_00198	uncharacterized protein		protein_coding	NW_003303758.1:1293604-1294075	-	GeneID:9476872
PITG_00200	uncharacterized protein		protein_coding	NW_003303758.1:1313029-1313620	+	GeneID:9476874
PITG_00201	uncharacterized protein		protein_coding	NW_003303758.1:1313694-1315552	-	GeneID:9476875
PITG_00202	uncharacterized protein		protein_coding	NW_003303758.1:1316137-1317125	+	GeneID:9476876
PITG_00203	mitochondrial-processing peptidase subunit beta		protein_coding	NW_003303758.1:1317696-1319165	-	GeneID:9476877
PITG_00204	kinesin heavy chain, putative		protein_coding	NW_003303758.1:1319979-1323180	+	GeneID:9476878
PITG_00205	uncharacterized protein		protein_coding	NW_003303758.1:1323901-1324636	-	GeneID:9476879
PITG_00206	uncharacterized protein		protein_coding	NW_003303758.1:1326116-1327841	+	GeneID:9476880
PITG_00207	uncharacterized protein		protein_coding	NW_003303758.1:1327985-1329204	+	GeneID:9476881
PITG_00208	protein kinase, putative		protein_coding	NW_003303758.1:1329447-1331780	-	GeneID:9476882
PITG_00209	Major Facilitator Superfamily (MFS)		protein_coding	NW_003303758.1:1332105-1334047	-	GeneID:9476883
PITG_00210	uncharacterized protein		protein_coding	NW_003303758.1:1336260-1337918	-	GeneID:9476884
PITG_00211	adenine phosphoribosyltransferase, putative		protein_coding	NW_003303758.1:1340522-1341466	+	GeneID:9476885
PITG_00212	uncharacterized protein		protein_coding	NW_003303758.1:1341841-1343298	+	GeneID:9476886
PITG_00213	uncharacterized protein		protein_coding	NW_003303758.1:1343411-1344417	+	GeneID:9476887
PITG_00214	uncharacterized protein		protein_coding	NW_003303758.1:1344969-1345859	+	GeneID:9476888
PITG_00215	calmodulin-binding transcription activator, putative		protein_coding	NW_003303758.1:1346449-1349918	+	GeneID:9476889
PITG_00216	uncharacterized protein		protein_coding	NW_003303758.1:1349929-1350613	-	GeneID:9476890
PITG_00217	uncharacterized protein		protein_coding	NW_003303758.1:1356502-1358380	-	GeneID:9476891
PITG_00218	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303758.1:1358850-1373214	+	GeneID:9476892
PITG_00219	glucan 1,3-beta-glucosidase, putative		protein_coding	NW_003303758.1:1380924-1382111	+	GeneID:9476893
PITG_00220	general transcription factor IIH subunit, putative		protein_coding	NW_003303758.1:1382233-1383192	+	GeneID:9476894
PITG_00221	tryptophan synthase, putative		protein_coding	NW_003303758.1:1383286-1384432	+	GeneID:9476895
PITG_00222	uncharacterized protein		protein_coding	NW_003303758.1:1384898-1385409	+	GeneID:9476896
PITG_00223	DNA repair and recombination protein RAD54		protein_coding	NW_003303758.1:1385739-1388969	-	GeneID:9476897
PITG_00224	uncharacterized protein		protein_coding	NW_003303758.1:1389145-1392537	+	GeneID:9476898
PITG_00225	sialin-like protein		protein_coding	NW_003303758.1:1392568-1394292	-	GeneID:9476899
PITG_00226	kinesin-like protein		protein_coding	NW_003303758.1:1394401-1397931	-	GeneID:9476900
PITG_00227	DEAD/DEAH box RNA helicase, putative		protein_coding	NW_003303758.1:1398171-1400249	+	GeneID:9476901
PITG_00228	Amino Acid-Polyamine-Organocation (APC) Family		protein_coding	NW_003303758.1:1400557-1404113	-	GeneID:9476902
PITG_00229	26S protease regulatory subunit S10B		protein_coding	NW_003303758.1:1404380-1405864	+	GeneID:9476903
PITG_00230	peptidyl-prolyl cis-trans isomerase, mitochondrial precursor		protein_coding	NW_003303758.1:1405984-1407157	+	GeneID:9476904
PITG_00231	eyes absent family protein		protein_coding	NW_003303758.1:1407223-1409379	-	GeneID:9476905
PITG_00232	uncharacterized protein		protein_coding	NW_003303758.1:1409997-1410687	+	GeneID:9476906
PITG_00233	Major Facilitator Superfamily (MFS)		protein_coding	NW_003303758.1:1411059-1412834	-	GeneID:9476907
PITG_00234	uncharacterized protein		protein_coding	NW_003303758.1:1414311-1416330	+	GeneID:9476908
PITG_00235	uncharacterized protein		protein_coding	NW_003303758.1:1416548-1416854	+	GeneID:9476909
PITG_00236	cyclin-H, putative		protein_coding	NW_003303758.1:1417198-1418394	-	GeneID:9476910
PITG_00237	2OG-Fe(II) oxygenase superfamily protein		protein_coding	NW_003303758.1:1418528-1419872	+	GeneID:9476911
PITG_00238	protein-L-isoaspartate(D-aspartate) O-methyltransferase, putative		protein_coding	NW_003303758.1:1419968-1420997	-	GeneID:9476912
PITG_00240	uncharacterized protein		protein_coding	NW_003303758.1:1427858-1428745	-	GeneID:9476913
PITG_00241	uncharacterized protein		protein_coding	NW_003303758.1:1438607-1439130	+	GeneID:9476914
PITG_00244	uncharacterized protein		protein_coding	NW_003303758.1:1505657-1507985	+	GeneID:9476915
PITG_00245	cathepsin, cysteine protease family C01A, putative		protein_coding	NW_003303758.1:1515570-1516760	+	GeneID:9476916
PITG_00246	uncharacterized protein		protein_coding	NW_003303758.1:1517204-1518649	+	GeneID:9476917
PITG_00247	uncharacterized protein		protein_coding	NW_003303758.1:1518968-1520435	+	GeneID:9476918
PITG_00248	cathepsin, putative		protein_coding	NW_003303758.1:1521315-1522016	-	GeneID:9476919
PITG_00249	O-methyltransferase, putative		protein_coding	NW_003303758.1:1522691-1523542	-	GeneID:9476920
PITG_00250	uncharacterized protein		protein_coding	NW_003303758.1:1524820-1526610	+	GeneID:9476921
PITG_00251	uncharacterized protein		protein_coding	NW_003303758.1:1526887-1528717	+	GeneID:9476922
PITG_00252	uncharacterized protein		protein_coding	NW_003303758.1:1529637-1530770	-	GeneID:9476923
PITG_00253	uncharacterized protein		protein_coding	NW_003303758.1:1530902-1535095	-	GeneID:9476924
PITG_00254	mitogen-activated protein kinase, putative		protein_coding	NW_003303758.1:1535795-1537959	-	GeneID:9476925
PITG_00255	uncharacterized protein		protein_coding	NW_003303758.1:1538905-1539342	-	GeneID:9476926
PITG_00256	uncharacterized protein		protein_coding	NW_003303758.1:1539453-1541003	+	GeneID:9476927
PITG_00257	uncharacterized protein		protein_coding	NW_003303758.1:1541105-1543616	-	GeneID:9476928
PITG_00258	uncharacterized protein		protein_coding	NW_003303758.1:1544035-1544408	+	GeneID:9476929
PITG_00259	uncharacterized protein		protein_coding	NW_003303758.1:1547208-1548056	-	GeneID:9476930
PITG_00260	uncharacterized protein		protein_coding	NW_003303758.1:1548263-1549104	-	GeneID:9476931
PITG_00261	uncharacterized protein		protein_coding	NW_003303758.1:1549342-1550106	+	GeneID:9477012
PITG_00262	nuclear pore complex protein Nup93-like protein		protein_coding	NW_003303758.1:1550176-1553079	-	GeneID:9477013
PITG_00263	uncharacterized protein		protein_coding	NW_003303758.1:1554451-1558858	+	GeneID:9477014
PITG_00264	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, putative		protein_coding	NW_003303758.1:1558866-1559885	-	GeneID:9477015
PITG_00265	Mitochondrial Carrier (MC) Family		protein_coding	NW_003303758.1:1560033-1561162	-	GeneID:9477016
PITG_00266	40S ribosomal protein S10		protein_coding	NW_003303758.1:1561381-1561976	+	GeneID:9477017
PITG_00267	uncharacterized protein		protein_coding	NW_003303758.1:1562857-1563305	-	GeneID:9477018
PITG_00268	uncharacterized protein		protein_coding	NW_003303758.1:1563631-1563933	+	GeneID:9477019
PITG_00269	uncharacterized protein		protein_coding	NW_003303758.1:1564580-1567164	+	GeneID:9477020
PITG_00270	uncharacterized protein		protein_coding	NW_003303758.1:1567605-1570743	+	GeneID:9477021
PITG_00271	uncharacterized protein		protein_coding	NW_003303758.1:1571459-1572622	-	GeneID:9477022
PITG_00272	phosphatidylinositol kinase		protein_coding	NW_003303758.1:1575147-1576484	+	GeneID:9477023
PITG_00273	N-acetylated-alpha-linked acidic dipeptidase-like protein		protein_coding	NW_003303758.1:1577163-1579990	+	GeneID:9477024
PITG_00274	ryanodine-inositol 1,4,5-triphosphate receptor Ca2 channel (RIR-CaC) family protein		protein_coding	NW_003303758.1:1580139-1584562	-	GeneID:9477025
PITG_00275	Iron(III)-zinc(II) purple acid phosphatase, putative		protein_coding	NW_003303758.1:1584795-1586343	+	GeneID:9477026
PITG_00276	uncharacterized protein		protein_coding	NW_003303758.1:1587519-1588122	-	GeneID:9477027
PITG_00279	ubiquitin carboxyl-terminal hydrolase, putative		protein_coding	NW_003303758.1:1644989-1649039	+	GeneID:9477028
PITG_00280	uncharacterized protein		protein_coding	NW_003303758.1:1649307-1650827	-	GeneID:9477029
PITG_00281	Major Facilitator Superfamily (MFS)		protein_coding	NW_003303758.1:1651508-1653288	-	GeneID:9477030
PITG_00282	uncharacterized protein		protein_coding	NW_003303758.1:1653568-1654245	+	GeneID:9477031
PITG_00283	uncharacterized protein		protein_coding	NW_003303758.1:1654395-1655459	-	GeneID:9477032
PITG_00284	phospholipase D, Pi-PXTM-PLD		protein_coding	NW_003303758.1:1655651-1661074	-	GeneID:9477033
PITG_00286	uncharacterized protein		protein_coding	NW_003303758.1:1675306-1677251	+	GeneID:9477034
PITG_00287	formyl-coenzyme A transferase, putative		protein_coding	NW_003303758.1:1677727-1679061	-	GeneID:9477035
PITG_00288	uncharacterized protein		protein_coding	NW_003303758.1:1679977-1680830	-	GeneID:9477036
